Pulsar Name,S80 (mJy),S160 (mJy)
B0031-07,1000,310
B0149-16,250,150
B0301+19,70,80
B0450-18,,100
B0628-28,530,90
B0740-28,,240
B0818-13,170,100
B0823+26,670,240
B0833-45,,1800
B0834+06,480,370
B0835-41,,100
B0919+06,360,240
B0943+10,440,80
B0950+08,3300,2500
B1114-41,150,120
B1133+16,540,440
B1237+25,150,160
B1524-39,,50
B1541+09,480,250
B1604-00,430,240
B1642-03,510,610
B1706-16,310,180
B1749-28,1800,2500
B1818-04,,540
B1821+05,,120
B1822-09,360,100
B1842+14,,160
B1857-26,870,260
B1907+10,,110
B1907+02,,60
B1911-04,,180
B1915+13,,180
B1919+21,750,1300
B1920+21,,170
B1929+10,430,710
B1933+16,,270
B1940-12,,70
B1944+17,,50
B2016+28,280,290
B2020+28,,210
B2028+22,70,40
B2045-16,340,160
B2303+30,60,40
B2327-20,250,100